tweet_id,text,airline_sentiment,airline,prediction,challenge_type,likely_reason,mitigation
568168460468895745,@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.,positive,United,negative,,,
568892505829347329,@united we can't all be american airlines I suppose... http://t.co/0EWj7oKlji,negative,United,neutral,,,
569347934866636800,@SouthwestAir are you hiring for flight attendants right now,neutral,Southwest,negative,,,
568784436428300290,@SouthwestAir Jackpot!  #legroom http://t.co/ZO2iceG4lI,positive,Southwest,neutral,,,
570085625061384192,"@americanair flight veers off icy runway at @dfwairport. Most DFW flights Cancelled Flighted Monday, Flightaware says. http://t.co/atwyiFh6Zy",negative,American,neutral,,,
568818335200223232,@united can't wait!!! 787!!! @tpallini http://t.co/oDlall5eDH,positive,United,neutral,,,
570016325667557376,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3,positive,United,neutral,,,
568632754939805696,@United What's your phone number? Customer service question.,neutral,United,negative,,,
567894187900710912,"@united Great, thank you!! I'll send it now.",neutral,United,positive,,,
568895856750899202,@united how long does it take for customer feedback to respond to a complaint?,neutral,United,negative,,,
